id;title;author;genre;publisher;price;image
1;20000 Leagues Under the Sea;Verne, Jules;fiction;Wordsworth;19.70;https://m.media-amazon.com/images/I/913ii-IVEXL._AC_UY218_.jpg
2;Age of Discontuinity, The;Drucker, Peter;economics;Random House;42.25;https://m.media-amazon.com/images/I/616vb81FXFS._AC_UY218_.jpg
3;Age of the Warrior, The;Fisk, Robert;history;Fourth Estate;30.93;https://m.media-amazon.com/images/I/81gC4zOZKjL._AC_UY436_FMwebp_QL65_.jpg
4;Age of Wrath, The;Eraly, Abraham;history;Penguin;17.88;https://m.media-amazon.com/images/I/71ICDk7lsuL._AC_UY327_FMwebp_QL65_.jpg
5;Aghal Paghal;Deshpande, P L;nonfiction;Mauj;10.00;https://m.media-amazon.com/images/I/51FSd4xF1JL._AC_UY327_FMwebp_QL65_.jpg
6;Ahe Manohar Tari;Deshpande, Sunita;nonfiction;Mauj;16.00;https://m.media-amazon.com/images/I/31oBE8oMgeL._AC_UY327_FMwebp_QL65_.jpg
7;All the President's Men;Woodward, Bob;history;Random House;25.50;https://m.media-amazon.com/images/I/81HzXxomRRL._AC_UY327_FMwebp_QL65_.jpg
8;Amulet of Samarkand, The;Stroud, Jonathan;fiction;Random House;25.38;https://m.media-amazon.com/images/I/51CsxMhhVFL._AC_UY327_FMwebp_QL65_.jpg
9;Analysis, Vol I;Tao, Terence;mathematics;HBA;37.99 ;https://m.media-amazon.com/images/I/31UGep5OJ4L._AC_UY327_FMwebp_QL65_.jpg
10;Angels & Demons;Brown, Dan;fiction;Random House;33.84;https://m.media-amazon.com/images/I/91eSpp085nL._AC_UY327_FMwebp_QL65_.jpg
11;Animal Farm;Orwell, George;fiction;Signet;18.50;https://m.media-amazon.com/images/I/71je3-DsQEL._AC_UY327_FMwebp_QL65_.jpg
12;Argumentative Indian, The;Sen, Amartya;nonfiction;Picador;26.26;https://m.media-amazon.com/images/I/81XQjCZLXFL._AC_UY327_FMwebp_QL65_.jpg
13;Arthashastra, The;Kautiyla;philosophy;Fingerprint! Publishing;23.99;https://m.media-amazon.com/images/I/71FF0AsDa+L._AC_UY327_FMwebp_QL65_.jpg
14;Artist and the Mathematician, The;Aczel, Amir;science;HighStakes;28.17;https://m.media-amazon.com/images/I/81dXkudhvVL._AC_UY327_FMwebp_QL65_.jpg
15;Asa Me Asa Me;Deshpande, P L;fiction;Mauj;22.26;https://m.media-amazon.com/images/I/61vnHhD0mxL._AC_UY327_FMwebp_QL65_.jpg
16;Ashenden of The British Agent;Maugham, William S;fiction;Vintage;45.57;https://m.media-amazon.com/images/I/51KzemRjUEL._AC_UY327_FMwebp_QL65_.jpg
17;Attorney, The;Martini, Steve;fiction;Berkley;23.26;https://m.media-amazon.com/images/I/71PS8mhe0CL._AC_UY218_.jpg
18;Ayn Rand Answers;Rand, Ayn;philosophy;Penguin;14.40;https://m.media-amazon.com/images/I/61N-0ggbTEL._AC_UY327_FMwebp_QL65_.jpg
19;Batatyachi Chal;Deshpande P L;fiction;Mouj Prakashan;25.30;https://m.media-amazon.com/images/I/411jh3+apuL._AC_UY327_FMwebp_QL65_.jpg
20;Batman Earth One;Frank, Gary;comic;DC Comics;16.98;https://m.media-amazon.com/images/I/91U55SLGFOL._AC_UY218_.jpg
21;Batman Handbook;Beatty, Scott;comic;Quirk Books;22.52;https://m.media-amazon.com/images/I/418vSYgk45L._AC_UY218_.jpg
22;Batman: The Long Halloween;Loeb, Jeph;comic;DC Comics;22.99;https://m.media-amazon.com/images/I/81oxI3fwvlL._AC_UY218_.jpg
23;Beautiful and the Damned, The;Deb, Siddhartha;nonfiction;Penguin;31.17;https://m.media-amazon.com/images/I/61gS4tAqY4L._AC_UY327_FMwebp_QL65_.jpg
24;Beyond Degrees;Pande, Ira;nonfiction;HarperCollins;24.41;https://m.media-amazon.com/images/I/71pFB7b5jyL._AC_UY218_.jpg
25;Beyond the Three Seas;Dalrymple, William;history;Random House;;
26;Birth of a Theorem;Villani, Cedric;mathematics;Bodley Head;;
27;Bookless in Baghdad;Tharoor, Shashi;nonfiction;Penguin;;
28;Brethren, The;Grisham, John;fiction;Random House;;
29;Broca's Brain;Sagan, Carl;science;;;
30;Burning Bright;Steinbeck, John;fiction;Penguin;;
31;Case of the Lame Canary, The;Gardner, Earle Stanley;fiction;;;
32;Catch 22;Heller, Joseph;fiction;Random House;;
33;Cathedral and the Bazaar, The;Raymond, Eric;computer_science;;;
34;Char Shabda;Deshpande, P L;nonfiction;;;
35;Christmas Carol, A;Dickens, Charles;fiction;;;
36;City of Djinns;Dalrymple, William;history;;;
37;City of Joy, The;Lapierre, Dominique;fiction;vikas;;
38;Clash of Civilizations and Remaking of the World Order;Huntington, Samuel;history;Simon&Schuster;;
39;Code Book, The;Singh, Simon;science;;;
40;Complete Mastermind, The;BBC;nonfiction;BBC;;
41;Complete Sherlock Holmes, The - Vol I;Doyle, Arthur Conan;fiction;Random House;;
42;Complete Sherlock Holmes, The - Vol II;Doyle, Arthur Conan;fiction;Random House;;
43;Computer Vision, A Modern Approach;Forsyth, David;data_science;Pearson;;
44;Courtroom Genius, The;Sorabjee;nonfiction;;;
45;Crime and Punishment;Dostoevsky, Fyodor;fiction;Penguin;;
46;Crisis on Infinite Earths;Wolfman, Marv;comic;;;
47;Data Analysis with Open Source Tools;Janert, Phillip;data_science;;;
48;Data Mining Handbook;Nisbet, Robert;data_science;Apress;;
49;Data Scientists at Work;Sebastian Gutierrez;data_science;Apress;;
50;Data Smart;Foreman, John;data_science;Wiley;;
51;Data Structures Using C & C++;Tanenbaum, Andrew;computer_science;Prentice Hall;;
52;Death of Superman, The;Jurgens, Dan;comic;;;
53;Deceiver, The;Forsyth, Frederick;fiction;;;
54;Design with OpAmps;Franco, Sergio;computer_science;;;
55;Devil's Advocate, The;West, Morris;fiction;;;
56;Discovery of India, The;Nehru, Jawaharlal;history;;;
57;Doctor in the Nude;Gordon, Richard;fiction;Penguin;;
58;Doctor on the Brain;Gordon, Richard;fiction;;;
59;Dongri to Dubai;Zaidi, Hussain;nonfiction;;;
60;Down and Out in Paris & London;Orwell, George;nonfiction;Penguin;;
61;Drunkard's Walk, The;Mlodinow, Leonard;science;Penguin;;
62;Dylan on Dylan;Dylan, Bob;nonfiction;Random House;;
63;Econometric Analysis;Greene, W. H.;economics;Pearson;;
64;Electric Universe;Bodanis, David;science;Penguin;;
65;Elements of Information Theory;Thomas, Joy;data_science;;;
66;Empire of the Mughal - Brothers at War;Rutherford, Alex;history;;;
67;Empire of the Mughal - Raiders from the North;Rutherford, Alex;history;;;
